edited,tweets_created_at,id,author_id,text,retweet_count,reply_count,tweet_like_count,quote_count,bookmark_count,impression_count,referenced_tweet_types,happiness,VoteWho
0,2024/11/6 17:33,1.8542155779690048e+18,20917097.0,"Big winners:

HNEMOT_LAUGHL_Rasmussen_Poll

HNEMOT_LAUGHL_atlas_intel

HASH_Election2024",0,0,0,0,0,50,0,7,3
0,2024/11/6 18:05,1.8542236478979525e+18,1.0119529969079624e+18,"HNEMOT_LAUGHL_TalbertSwan Hey HASH_MerrickGarland & HASH_EMOT_LAUGHOJ, where are the 20M+ Votes that EMOT_LAUGHisappeared Go and are not Accounted for in the HASH_Election2024 PUNC_QUES  HASH_America wants to know what is Going on PUNC_QUES  PUNC_QUES  PUNC_ELLP  
HNEMOT_LAUGHL_EMOT_LAUGHOJCrimEMOT_LAUGHiv

PLEASE RETWEET",1,0,1,0,0,27,1,2,3
0,2024/11/6 17:25,1.8542135436057887e+18,1.3374421271067402e+18,"Even the oldest, wisest trees 🌳 sway when the winds of change blow PUNC_EXCL  Trump’s win shows how the forest of democracy grows in unexpected ways 🌬️🇺🇸 HASH_Election2024 HASH_AmericanRoots HASH_PowerShift HASH_EMOT_LAUGHemocracy HASH_USAElection2024
HASH_KamalaHarris
HASH_ElonMusk HASH_EMOT_LAUGHonaldTrump #
URL",0,0,0,0,0,93,0,9,1
0,2024/11/6 17:46,1.854218883072172e+18,1.5650294869067205e+18,"I hope all the great folks in rural and suburban America remember this feeling PUNC_EXCL  We’ll need them to step up to the plate in two years for the midterms PUNC_EXCL 

HASH_EveryTwoYears HASH_Election2024",0,0,0,0,0,56,0,5,3
0,2024/11/6 17:04,1.8542082970389133e+18,1.5405520868316283e+18,Recently when I was at the 2024 Election Hangout place on Roblox I met alot of Famous Users there such as HNEMOT_LAUGHL_M1A2_AbramsTank HNEMOT_LAUGHL_RealSchlep HNEMOT_LAUGHL__binzy and HNEMOT_LAUGHL_LukasThePickle I had a really fun time meeting you guys PUNC_EXCL  HASH_ROBLOX HASH_robloxevents HASH_RobloxGames HASH_Election2024 HASH_ElectionEMOT_LAUGHay URL,0,0,3,0,0,83,0,9,3
0,2024/11/6 17:32,1.8542151970174528e+18,8.955120761976791e+17,"Wow, doesnt get much closer than this PUNC_EXCL  PUNC_EXCL  PUNC_EXCL  PUNC_EXCL  🗳  HASH_Election2024
HASH_LasVegas HASH_Reno HASH_Nevada URL",0,0,1,0,0,101,2,7,3
0,2024/11/6 17:33,1.854215592724808e+18,8.778402792771091e+17,"Peak 📈

HASH_Sarkar HASH_USElection2024
URL",1,0,2,0,0,22,0,5,3
0,2024/11/6 17:19,1.8542119996324293e+18,7.518417894688113e+17,"HNEMOT_LAUGHL_VP HNEMOT_LAUGHL_KamalaHarris 
HASH_EMOT_LAUGHoNotConcedeKamala HASH_Election2024 

GOP Voter Purging and other Shenanigans PUNC_EXCL 
You fight this to the last day PUNC_EXCL  We can not allow this level of cheating PUNC_EXCL  

tRump ""I dont need your vote PUNC_EXCL  I have all the votes I need PUNC_EXCL ""

He told us flat out he was cheating PUNC_EXCL",0,1,0,0,0,152,0,4,2
0,2024/11/6 17:05,1.8542085824070697e+18,1.6609905223397868e+18,Michigan is at 98% of the expected vote PUNC_EXCL  It is projected the state will go to EMOT_LAUGHonald Trump PUNC_EXCL  He will have 15 electoral votes to add to his rust belt victory PUNC_EXCL  It is not likely at all for the margin to change PUNC_EXCL  He will outperform his 2016 victory PUNC_EXCL  HASH_Election2024,0,0,1,0,0,62,0,5,1
0,2024/11/6 17:01,1.8542074059800328e+18,1.661937542202118e+18,"I don’t wanna hear it when a felon is serving you at a fast food location and it makes you uncomfortable PUNC_EXCL  
Look who you fucking voted for PUNC_EXCL  
HASH_Election2024",0,0,0,0,0,18,0,1,3
